d14,ad,day7,m1,m3,m6,m12,m18,m24,m60
0,2018-06-24,-1.0,2.0,11.0,17.0,20.0,22.0,22.0,23.0
0,2018-06-24,2.0,10.0,14.0,17.0,54.0,62.0,62.0,63.0
0,2018-06-24,4.0,5.0,17.0,21.0,35.0,41.0,41.0,42.0
0,2018-06-24,-1.0,-1.0,8.0,16.0,27.0,32.0,33.0,35.0
0,2018-06-24,10.0,28.0,29.0,32.0,32.0,32.0,32.0,32.0
0,2018-06-24,3.0,10.0,35.0,37.0,38.0,38.0,39.0,39.0
0,2018-06-24,2.0,4.0,14.0,15.0,15.0,15.0,15.0,15.0
0,2018-06-24,-1.0,6.0,25.0,37.0,49.0,49.0,49.0,50.0
0,2018-06-24,-1.0,10.0,19.0,29.0,29.0,29.0,30.0,30.0
0,2018-06-24,-1.0,-1.0,3.0,4.0,4.0,5.0,5.0,5.0
0,2018-06-24,4.0,6.0,12.0,15.0,31.0,33.0,33.0,33.0
0,2018-06-24,4.0,23.0,38.0,49.0,65.0,65.0,65.0,65.0
0,2018-06-24,-1.0,3.0,22.0,32.0,37.0,37.0,37.0,37.0
0,2018-06-24,3.0,20.0,39.0,56.0,114.0,120.0,120.0,120.0
0,2018-06-24,4.0,15.0,22.0,29.0,52.0,56.0,57.0,57.0
0,2018-06-24,5.0,11.0,20.0,26.0,44.0,57.0,61.0,61.0
0,2018-06-24,-1.0,2.0,2.0,3.0,14.0,15.0,15.0,15.0
1,2018-06-24,3.0,13.0,39.0,47.0,57.0,57.0,57.0,57.0
0,2018-06-24,3.0,17.0,24.0,41.0,46.0,56.0,56.0,56.0
0,2018-06-24,2.0,8.0,13.0,17.0,52.0,69.0,72.0,77.0
0,2018-06-24,-1.0,2.0,9.0,23.0,26.0,26.0,26.0,26.0
0,2018-06-24,7.0,32.0,58.0,67.0,109.0,119.0,127.0,129.0
0,2018-06-24,3.0,4.0,9.0,12.0,30.0,31.0,32.0,32.0
0,2018-06-24,-1.0,5.0,17.0,21.0,30.0,38.0,49.0,49.0
0,2018-06-24,2.0,9.0,17.0,19.0,21.0,21.0,21.0,21.0
0,2018-06-24,12.0,28.0,48.0,60.0,84.0,99.0,99.0,99.0
0,2018-06-24,9.0,25.0,48.0,62.0,115.0,123.0,136.0,144.0
0,2018-06-24,3.0,3.0,5.0,7.0,10.0,11.0,12.0,12.0
0,2018-06-24,-1.0,3.0,5.0,9.0,16.0,27.0,27.0,27.0
0,2018-06-24,-1.0,5.0,6.0,8.0,12.0,12.0,12.0,12.0
0,2018-06-24,2.0,4.0,27.0,28.0,30.0,30.0,31.0,31.0
0,2018-06-24,-1.0,11.0,13.0,15.0,41.0,41.0,44.0,44.0
0,2018-06-24,-1.0,4.0,9.0,10.0,25.0,46.0,46.0,46.0
0,2018-06-24,3.0,4.0,27.0,36.0,113.0,118.0,118.0,118.0
0,2018-06-24,2.0,4.0,10.0,16.0,22.0,28.0,35.0,35.0
0,2018-06-24,4.0,6.0,7.0,12.0,26.0,26.0,26.0,26.0
0,2018-06-24,9.0,39.0,53.0,63.0,69.0,72.0,74.0,75.0
0,2018-06-24,3.0,7.0,23.0,28.0,49.0,50.0,50.0,50.0
0,2018-06-24,6.0,7.0,20.0,20.0,35.0,35.0,38.0,38.0
0,2018-06-24,7.0,8.0,18.0,25.0,39.0,46.0,49.0,50.0
0,2018-06-24,12.0,28.0,40.0,49.0,113.0,125.0,125.0,125.0
0,2018-06-24,-1.0,3.0,11.0,14.0,16.0,17.0,17.0,17.0
0,2018-06-24,-1.0,-1.0,8.0,12.0,14.0,14.0,14.0,14.0
0,2018-06-24,5.0,9.0,27.0,34.0,67.0,73.0,75.0,76.0
0,2018-06-24,2.0,7.0,11.0,18.0,25.0,26.0,26.0,26.0
0,2018-06-24,3.0,7.0,15.0,18.0,68.0,98.0,98.0,98.0
0,2018-06-24,2.0,2.0,7.0,11.0,11.0,11.0,11.0,11.0
0,2018-06-24,-1.0,2.0,4.0,7.0,20.0,20.0,20.0,20.0
1,2018-06-24,3.0,3.0,8.0,9.0,18.0,21.0,22.0,22.0
0,2018-06-24,3.0,8.0,16.0,23.0,55.0,68.0,73.0,73.0
0,2018-06-24,2.0,9.0,18.0,38.0,80.0,89.0,91.0,94.0
0,2018-06-24,-1.0,-1.0,-1.0,2.0,4.0,5.0,5.0,9.0
0,2018-06-24,-1.0,3.0,7.0,7.0,34.0,38.0,38.0,39.0
1,2018-06-24,-1.0,9.0,27.0,60.0,104.0,131.0,132.0,132.0
0,2018-06-24,-1.0,5.0,12.0,13.0,16.0,16.0,16.0,16.0
